ANO,MES,DIA,LATITUD,LONGITUD,PROFUNDIDAD,COLOR,Ml,SIZE,Mw,DEPARTAMENTO,MUNICIPIO,X,Y
2001,1,14,6.591,-73.07,214.8,1,2.3,2,,SANTANDER,CURITI,1111807.466,1220394.417
2004,5,4,6.636,-73.355,208.3,1,2.3,2,,SANTANDER,GALAN,1080277.712,1225316.756
2001,2,12,6.985,-73.347,202.5,1,2.5,2,,SANTANDER,BETULIA,1081104.106,1263917.405
2003,6,1,5.823,-73.994,201.6,1,2.4,2,,SANTANDER,FLORIAN,1009627.383,1135350.814
2000,6,25,6.312,-73.061,200,1,3.8,10,,SANTANDER,COROMORO,1112864.45,1189537.218
2003,6,3,6.259,-73.065,199.1,1,4,10,,SANTANDER,COROMORO,1112433.106,1183674.255
2003,12,7,6.676,-72.819,198.5,1,2.2,2,,SANTANDER,MOLAGAVITA,1139547.774,1229859.811
2001,1,19,6.499,-73.083,198.4,1,2.1,2,,SANTANDER,VALLE_DE_SAN_JOSE,1110389.669,1210215.766
2000,7,11,6.403,-73.123,196.6,1,3.1,10,,SANTANDER,OCAMONTE,1105984.383,1199589.219
2003,6,26,6.92,-72.935,196,1,4.7,10,,SANTANDER,GUACA,1126654.749,1256818.026
2001,5,26,6.366,-73.272,196,1,3.5,10,,SANTANDER,CONFINES,1089504.408,1195468.795
2002,12,13,6.896,-72.624,196,1,2.2,2,,SANTANDER,CERRITO,1161042.682,1254256.812
2003,3,17,6.532,-73.024,195.4,1,2.5,2,,SANTANDER,MOGOTES,1116909.253,1213879.031
2008,7,14,6.534,-72.575,194.1,1,2.1,2,,SANTANDER,CAPITANEJO,1166582.887,1214226.298
2004,2,26,6.858,-72.866,194,1,2.9,2,,SANTANDER,GUACA,1134299.469,1249978.731
2003,11,22,7.406,-72.885,193.8,1,2.7,2,,SANTANDER,CALIFORNIA,1132042.297,1310591.032
2009,11,26,6.535,-72.933,192.7,1,1.7,2,,SANTANDER,MOGOTES,1126975.453,1214232.825
2002,8,22,6.769,-72.958,192.1,1,2.4,2,,SANTANDER,CEPITA,1124151.227,1240109.587
2010,6,20,6.55,-72.994,191,1,2.1,2,,SANTANDER,MOGOTES,1120223.708,1215877.035
2001,8,23,6.894,-72.935,190.7,1,2.9,2,,SANTANDER,GUACA,1126661.643,1253942.087
2000,4,25,6.015,-73.126,190,1,3,10,,SANTANDER,ENCINO,1105729.487,1156674.495
2003,10,12,6.371,-73.066,190,1,2.9,2,,SANTANDER,OCAMONTE,1112298.378,1196061.888
2003,2,12,6.512,-72.933,190,1,2.8,2,,SANTANDER,MOGOTES,1126981.225,1211688.763
2003,3,20,6.843,-72.974,190,1,2.8,2,,SANTANDER,CEPITA,1122363.377,1248290.766
2003,2,10,6.427,-73.182,189.4,1,2.5,2,,SANTANDER,PARAMO,1099451.511,1202231.93
2009,6,16,6.325,-73.193,189.4,1,1.9,2,,SANTANDER,CHARALA,1098253.785,1190948.406
2007,7,23,6.461,-72.936,188,1,4.8,10,,SANTANDER,MOGOTES,1126662.022,1206046.845
2001,6,27,6.86,-73.032,187.9,1,2.4,2,,SANTANDER,CEPITA,1115947.092,1250156.799
2008,1,11,6.85,-72.896,187.9,1,2.1,2,,SANTANDER,GUACA,1130984.962,1249085.548
2008,1,23,6.522,-73.047,187.6,1,2.8,2,,SANTANDER,MOGOTES,1114367.165,1212767.696
2003,2,14,6.896,-72.876,187.6,1,2.3,2,,SANTANDER,GUACA,1133183.352,1254179.328
2007,7,25,6.55,-72.978,187.5,1,2.8,2,,SANTANDER,MOGOTES,1121993.654,1215880.88
2006,12,5,6.413,-73.103,187.5,1,2.2,2,,SANTANDER,VALLE_DE_SAN_JOSE,1108195.271,1200699.421
2010,8,17,6.211,-73.019,187.4,1,2,2,,SANTANDER,COROMORO,1117535.143,1178375.146
2010,5,10,6.543,-73.411,186.9,1,1.7,2,,SANTANDER,HATO,1074098.349,1215022.528
2004,5,4,6.951,-73.091,186.8,1,2.4,2,,SANTANDER,PIEDECUESTA,1109403.864,1260208.275
2005,12,31,6.629,-73.813,186.7,1,2.8,2,,SANTANDER,PUERTO_PARRA,1029629.185,1224492.222
2002,2,15,6.1,-73.175,186.6,1,2.5,2,,SANTANDER,ENCINO,1100288.137,1166066.405
